https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1608354000,2020-12-19 05:00:00,LINK/EUR,11.12066,11.14365,11.05363,11.14095,11.10435,1185.89271932,13211.971491308153,33
1608350400,2020-12-19 04:00:00,LINK/EUR,11.13506,11.15000,11.07356,11.12066,11.09493,1806.87064487,20093.594105580014,32
1608346800,2020-12-19 03:00:00,LINK/EUR,11.01029,11.10404,11.01029,11.06958,11.08804,4376.35842889,48444.44973727217,68
1608343200,2020-12-19 02:00:00,LINK/EUR,10.90291,11.00641,10.89000,11.00641,10.96991,446.13620671,4910.358006895011,14
1608339600,2020-12-19 01:00:00,LINK/EUR,10.96233,10.96233,10.85992,10.92090,10.90791,1678.19960073,18327.450019612257,57
1608336000,2020-12-19 00:00:00,LINK/EUR,11.02572,11.04596,10.92835,10.96233,10.96226,16800.08219022,184168.04499631442,116
1608332400,2020-12-18 23:00:00,LINK/EUR,10.97803,11.00383,10.94454,10.99481,10.98094,1366.87624660,15028.544624880145,44
1608328800,2020-12-18 22:00:00,LINK/EUR,10.98347,11.01384,10.96469,10.96469,10.99044,2130.37647085,23358.917586164283,44
1608325200,2020-12-18 21:00:00,LINK/EUR,11.00627,11.06788,10.99736,11.01582,11.02318,4758.33879694,52417.00368610759,96
1608321600,2020-12-18 20:00:00,LINK/EUR,10.95500,11.00627,10.85968,10.94779,10.95478,1122.30731261,12286.784773918633,35
1608318000,2020-12-18 19:00:00,LINK/EUR,11.03409,11.03409,10.93337,10.93953,10.96286,2035.82059214,22270.920442333292,49
1608314400,2020-12-18 18:00:00,LINK/EUR,11.00000,11.06664,10.97248,11.02800,11.02562,1472.23828790,16235.8438389612,35
1608310800,2020-12-18 17:00:00,LINK/EUR,10.95664,11.01818,10.93477,11.00761,10.96863,2881.80554173,31721.791499202565,52
1608307200,2020-12-18 16:00:00,LINK/EUR,10.92366,10.99818,10.78112,10.95999,10.86158,4234.53296330,46410.43893243837,75
1608303600,2020-12-18 15:00:00,LINK/EUR,10.94000,10.96880,10.84679,10.92259,10.91971,3216.37015205,35131.09245907981,83
1608300000,2020-12-18 14:00:00,LINK/EUR,10.97213,10.98833,10.85984,10.95836,10.94105,5577.29376416,61117.992893420385,98
