https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1597190400,2020-08-12 00:00:00,ETH/EUR,323.23,330.71,312.40,328.90,324.73,45961.45906242,15116723.885629937,14377
1597104000,2020-08-11 00:00:00,ETH/EUR,337.20,339.00,313.00,323.19,327.49,72149.35282172,23317949.338451684,20833
1597017600,2020-08-10 00:00:00,ETH/EUR,331.77,339.42,328.18,337.20,335.95,47234.28173951,15927399.802562771,15241
1596931200,2020-08-09 00:00:00,ETH/EUR,336.87,339.24,326.24,331.52,332.54,32469.15602517,10764174.605464358,11399
1596844800,2020-08-08 00:00:00,ETH/EUR,322.63,336.82,320.00,336.82,329.47,32611.86504932,10984328.385911962,12421
1596758400,2020-08-07 00:00:00,ETH/EUR,332.79,337.50,310.09,322.64,324.31,80030.32741075,25820984.83580438,21028
1596672000,2020-08-06 00:00:00,ETH/EUR,337.91,340.00,330.00,332.79,335.04,46836.54477859,15586733.736866968,13806
1596585600,2020-08-05 00:00:00,ETH/EUR,330.42,343.70,325.46,337.91,334.89,59947.72140173,20256934.538858585,17690
1596499200,2020-08-04 00:00:00,ETH/EUR,328.98,342.95,325.12,330.30,332.67,64258.89727318,21224713.769331355,18589
1596412800,2020-08-03 00:00:00,ETH/EUR,316.00,339.66,311.78,329.02,331.93,83550.82066680,27489891.015790537,20443
1596326400,2020-08-02 00:00:00,ETH/EUR,329.39,352.66,220.55,316.06,315.07,196302.02205335,62043217.0901818,41537
1596240000,2020-08-01 00:00:00,ETH/EUR,294.64,334.65,292.13,329.47,313.84,99686.54309060,32843725.352059983,27097
1596153600,2020-07-31 00:00:00,ETH/EUR,282.78,296.70,277.07,294.65,288.83,86417.14320228,25462811.2445518,18793
1596067200,2020-07-30 00:00:00,ETH/EUR,270.44,289.21,267.86,282.79,277.78,75721.48431347,21413278.549006183,17664
1595980800,2020-07-29 00:00:00,ETH/EUR,270.62,277.00,267.11,270.53,273.58,57209.89849339,15476993.839416794,15495
1595894400,2020-07-28 00:00:00,ETH/EUR,274.05,278.07,261.00,270.86,269.85,81379.44695802,22042437.003049295,21200
1595808000,2020-07-27 00:00:00,ETH/EUR,266.99,284.34,265.02,274.09,274.77,140518.29267734,38514658.83993212,29611
1595721600,2020-07-26 00:00:00,ETH/EUR,262.58,273.76,256.16,267.03,265.64,115941.62442562,30959891.970373306,21312
1595635200,2020-07-25 00:00:00,ETH/EUR,240.30,265.30,240.30,262.66,252.12,66896.86810886,17571131.377473168,15925
1595548800,2020-07-24 00:00:00,ETH/EUR,238.07,247.15,231.74,240.11,239.78,68925.90782135,16549799.72698435,15930
1595462400,2020-07-23 00:00:00,ETH/EUR,228.80,241.87,222.51,238.01,232.30,84897.01821420,20206339.30516174,18699
1595376000,2020-07-22 00:00:00,ETH/EUR,213.51,232.66,210.20,228.95,218.88,53937.53268828,12348998.108981706,11992
1595289600,2020-07-21 00:00:00,ETH/EUR,206.40,215.01,206.15,213.37,212.50,36296.20986498,7744522.298890783,8623
1595203200,2020-07-20 00:00:00,ETH/EUR,209.36,209.89,205.02,206.43,208.25,22243.79425420,4591786.447894506,6891
1595116800,2020-07-19 00:00:00,ETH/EUR,206.91,209.91,204.64,209.28,206.83,16448.47291320,3442336.411274496,5096
1595030400,2020-07-18 00:00:00,ETH/EUR,203.89,207.89,203.66,206.92,205.99,15833.51652444,3276271.2392371246,5021
1594944000,2020-07-17 00:00:00,ETH/EUR,205.09,205.76,203.31,203.85,204.46,16786.51094581,3421930.2563033686,6073
1594857600,2020-07-16 00:00:00,ETH/EUR,209.01,209.50,202.00,205.09,204.53,47454.77833225,9732500.488161154,10126
1594771200,2020-07-15 00:00:00,ETH/EUR,210.82,211.53,208.00,209.00,209.42,26666.65781693,5573331.48373837,7292
1594684800,2020-07-14 00:00:00,ETH/EUR,211.40,212.62,209.19,210.82,210.88,23834.53929533,5024797.574241471,6457
1594598400,2020-07-13 00:00:00,ETH/EUR,214.99,216.67,209.40,211.41,213.46,46746.46526597,9882670.221878717,9516
1594512000,2020-07-12 00:00:00,ETH/EUR,212.20,215.88,210.00,214.86,212.10,26904.85803564,5780777.797537611,6259
1594425600,2020-07-11 00:00:00,ETH/EUR,213.86,214.18,210.57,212.15,212.41,13870.82346736,2942695.198600424,4874
1594339200,2020-07-10 00:00:00,ETH/EUR,214.72,214.94,209.70,213.78,212.06,25847.17167700,5525608.361109059,7160
1594252800,2020-07-09 00:00:00,ETH/EUR,218.18,218.78,211.14,214.88,215.15,42008.17937649,9026717.58442017,8911
