https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1598486400,2020-08-27 00:00:00,LINK/EUR,12.84046,13.09969,11.87047,12.33649,12.52362,233644.51518854,2882353.225178272,3730
1598400000,2020-08-26 00:00:00,LINK/EUR,11.94873,13.24996,11.90000,12.86887,12.57304,262363.97556991,3376327.8942923476,4423
1598313600,2020-08-25 00:00:00,LINK/EUR,12.88991,13.02660,11.43934,11.95000,12.17425,425168.65337644,5080765.407848458,4734
1598227200,2020-08-24 00:00:00,LINK/EUR,12.78007,13.47750,12.46282,12.83147,13.01929,273940.59863205,3515060.57312919,2735
1598140800,2020-08-23 00:00:00,LINK/EUR,13.48861,13.57784,12.45515,12.84965,12.88126,316604.84352639,4068261.427618877,3412
1598054400,2020-08-22 00:00:00,LINK/EUR,11.74505,13.86689,11.66908,13.45875,12.90645,491476.78832890,6614663.224921583,6097
1597968000,2020-08-21 00:00:00,LINK/EUR,13.53532,13.61088,11.00000,11.71211,12.22926,1112972.52645768,13035256.656850256,11659
1597881600,2020-08-20 00:00:00,LINK/EUR,13.72514,14.20000,12.86176,13.55419,13.68400,397649.56812427,5389817.799774299,4092
1597795200,2020-08-19 00:00:00,LINK/EUR,13.59386,14.50000,12.51000,13.67783,13.67869,700152.61787777,9576568.4813871,8002
1597708800,2020-08-18 00:00:00,LINK/EUR,14.19923,14.86624,12.41001,13.57749,13.72897,1113057.77147916,15112530.76168058,12075
1597622400,2020-08-17 00:00:00,LINK/EUR,15.91828,16.64629,13.20007,14.18960,15.53895,471914.61189365,6696279.576926136,7295
1597536000,2020-08-16 00:00:00,LINK/EUR,16.23429,16.93000,15.65520,15.86572,16.25964,361470.62995253,5734991.803050455,5276
1597449600,2020-08-15 00:00:00,LINK/EUR,14.34871,16.75515,14.01871,16.20921,15.72303,600652.47444817,9736102.095350021,8702
1597363200,2020-08-14 00:00:00,LINK/EUR,14.55161,14.90000,13.84282,14.37033,14.30422,344227.22572963,4946658.828719273,5468
1597276800,2020-08-13 00:00:00,LINK/EUR,14.00555,15.48293,13.50162,14.53073,14.53115,1246707.05298804,18115563.576064903,15009
1597190400,2020-08-12 00:00:00,LINK/EUR,11.09621,14.21000,10.77088,14.04170,12.54147,1060690.28309905,14893894.74819193,10728
1597104000,2020-08-11 00:00:00,LINK/EUR,11.48000,11.53007,10.30000,11.10475,10.90584,465768.37971878,5172241.414682122,5523
1597017600,2020-08-10 00:00:00,LINK/EUR,11.75702,11.92026,10.65000,11.48967,11.36362,498601.16961469,5728762.900486816,6697
1596931200,2020-08-09 00:00:00,LINK/EUR,10.78190,12.27169,10.10000,11.74427,11.42521,693582.04867698,8145614.846815595,10188
1596844800,2020-08-08 00:00:00,LINK/EUR,8.61253,11.84995,8.45506,10.80816,10.19002,857347.48748416,9266348.8203268,11025
1596758400,2020-08-07 00:00:00,LINK/EUR,8.63574,8.65358,7.90200,8.60000,8.36173,329151.96012722,2830706.8570940923,3933
1596672000,2020-08-06 00:00:00,LINK/EUR,8.02801,8.65100,7.98499,8.60429,8.24162,174344.03310181,1500106.6205775728,2526
1596585600,2020-08-05 00:00:00,LINK/EUR,8.35375,8.37031,7.87702,8.04003,8.06317,260310.15594557,2092901.463107061,2560
1596499200,2020-08-04 00:00:00,LINK/EUR,7.87225,8.45934,7.75002,8.35747,8.10258,529253.54933594,4423220.660968638,5465
1596412800,2020-08-03 00:00:00,LINK/EUR,7.02725,7.89000,6.91686,7.84442,7.32815,243785.62204289,1912356.8092656874,2670
1596326400,2020-08-02 00:00:00,LINK/EUR,7.08318,7.47120,6.00719,7.04011,7.05944,513626.28815881,3615985.5675297203,5003
1596240000,2020-08-01 00:00:00,LINK/EUR,6.62715,7.20000,6.34232,7.07998,6.80070,285339.48736421,2020197.8637488596,2467
1596153600,2020-07-31 00:00:00,LINK/EUR,6.25552,6.63317,6.25552,6.62715,6.51806,253780.28526007,1681840.017461273,1927
1596067200,2020-07-30 00:00:00,LINK/EUR,6.02697,6.42000,5.98516,6.28464,6.23082,237250.14594856,1491031.757234158,1706
1595980800,2020-07-29 00:00:00,LINK/EUR,6.18654,6.39221,5.93938,6.05424,6.15021,209894.43806282,1270751.3026974474,1710
1595894400,2020-07-28 00:00:00,LINK/EUR,6.05229,6.32577,5.88865,6.16000,6.11491,204793.47345180,1261527.7964630881,1898
1595808000,2020-07-27 00:00:00,LINK/EUR,6.42904,6.44386,5.53001,6.05868,5.95998,495407.66177200,3001516.492224781,4688
1595721600,2020-07-26 00:00:00,LINK/EUR,6.58825,6.82528,6.21001,6.46479,6.44146,191036.63844262,1235011.7498374654,1933
1595635200,2020-07-25 00:00:00,LINK/EUR,6.38848,6.72395,6.36853,6.58733,6.55072,231848.98110833,1527265.7487243353,1423
1595548800,2020-07-24 00:00:00,LINK/EUR,6.83592,6.85304,6.36000,6.39500,6.53431,222328.91249571,1421793.3954100655,1759
1595462400,2020-07-23 00:00:00,LINK/EUR,6.47172,6.99037,6.46951,6.81546,6.76788,314249.79237064,2141756.889910402,2616
