https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1608213600,2020-12-17 14:00:00,ETH/EUR,537.91,543.01,535.33,540.42,540.28,3428.93293086,1853063.934495361,1247
1608210000,2020-12-17 13:00:00,ETH/EUR,543.31,544.00,532.10,537.36,539.62,5316.67717278,2856969.645565061,1530
1608206400,2020-12-17 12:00:00,ETH/EUR,540.29,543.36,535.40,543.30,540.07,6231.06151470,3385335.72093651,1388
1608202800,2020-12-17 11:00:00,ETH/EUR,544.56,544.56,536.09,540.27,540.58,4648.79367578,2511603.7592136604,1797
1608199200,2020-12-17 10:00:00,ETH/EUR,524.25,546.47,524.24,544.56,539.79,18240.86015158,9933242.804144403,5051
1608195600,2020-12-17 09:00:00,ETH/EUR,532.00,536.78,518.37,524.24,526.83,10181.37468202,5337483.863302165,3575
1608192000,2020-12-17 08:00:00,ETH/EUR,530.63,537.03,528.03,532.01,531.83,9027.66747859,4802809.375284665,2404
1608188400,2020-12-17 07:00:00,ETH/EUR,527.31,530.67,525.50,530.50,529.00,4122.16655058,2186809.3550826903,1143
1608184800,2020-12-17 06:00:00,ETH/EUR,529.97,530.00,525.15,527.31,527.25,1544.05527476,814195.7869336955,783
1608181200,2020-12-17 05:00:00,ETH/EUR,521.54,530.22,521.54,529.96,526.00,1235.85141272,654951.8146850913,462
1608177600,2020-12-17 04:00:00,ETH/EUR,520.98,523.19,520.90,521.54,522.12,616.02374838,321281.0257301052,250
1608174000,2020-12-17 03:00:00,ETH/EUR,529.08,533.00,518.03,521.07,525.22,4140.82945263,2157662.002881914,1022
1608170400,2020-12-17 02:00:00,ETH/EUR,526.99,530.00,524.99,528.88,528.09,625.55052681,330841.16261927277,374
1608166800,2020-12-17 01:00:00,ETH/EUR,528.29,531.35,524.48,526.92,528.49,3086.10202395,1626128.878459734,778
1608163200,2020-12-17 00:00:00,ETH/EUR,522.10,530.00,521.99,527.41,526.54,5668.78572249,2989774.277898451,1894
1608159600,2020-12-16 23:00:00,ETH/EUR,519.99,522.59,516.53,522.24,520.17,3708.23632516,1936589.3384515585,1288
1608156000,2020-12-16 22:00:00,ETH/EUR,515.60,520.00,513.64,520.00,517.81,6626.16303615,3445604.778798,1825
1608152400,2020-12-16 21:00:00,ETH/EUR,511.50,517.63,509.86,515.59,514.72,2997.45078427,1545455.6498617693,1182
1608148800,2020-12-16 20:00:00,ETH/EUR,511.47,512.90,510.10,511.51,511.77,2905.52086840,1486202.9793952839,897
1608145200,2020-12-16 19:00:00,ETH/EUR,508.09,511.85,508.09,511.44,510.31,2117.74996938,1083102.0443397071,886
1608141600,2020-12-16 18:00:00,ETH/EUR,510.45,512.63,506.59,508.24,510.94,3203.16202411,1627975.0671336665,1133
1608138000,2020-12-16 17:00:00,ETH/EUR,516.56,516.56,509.47,510.45,511.79,5797.37209686,2959268.5868421867,1619
