https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume EUR,tradecount
1487980800.0,2017-02-25,BTC/EUR,1120,1122.1,1072.43,1089.34,1089.34,7933.89,8684093.13,NULL
1487894400.0,2017-02-24,BTC/EUR,1114.1,1147.23,1071.1,1120,1120,17198.07,19141559.65,NULL
1487808000.0,2017-02-23,BTC/EUR,1064.96,1124.48,1062.48,1114.1,1114.1,10946.48,11947234.7,NULL
1487721600.0,2017-02-22,BTC/EUR,1062.99,1074.22,1046.68,1064.96,1064.96,8112.15,8616832.92,NULL
1487635200.0,2017-02-21,BTC/EUR,1019.01,1063.87,1015.78,1062.99,1062.99,11656.14,12157417.38,NULL
1487548800.0,2017-02-20,BTC/EUR,991,1024.97,985.19,1019.01,1019.01,6373.33,6393244.78,NULL
1487462400.0,2017-02-19,BTC/EUR,997.81,999.8,976.99,991,991,3319.28,3284416.69,NULL
1487376000.0,2017-02-18,BTC/EUR,991.92,1005.38,989.78,997.81,997.81,5366.19,5364924.79,NULL
1487289600.0,2017-02-17,BTC/EUR,979.98,999.83,975,991.92,991.92,6517.16,6457887.63,NULL
1487203200.0,2017-02-16,BTC/EUR,958.31,988.89,958.11,979.98,979.98,6205.28,6049764.96,NULL
1487116800.0,2017-02-15,BTC/EUR,956.99,965,951.95,958.31,958.31,3880.0,3721783.42,NULL
1487030400.0,2017-02-14,BTC/EUR,944.41,964.16,935.44,956.99,956.99,7113.36,6785268.76,NULL
1486944000.0,2017-02-13,BTC/EUR,945.99,948.99,916.94,944.41,944.41,5002.29,4687550.24,NULL
1486857600.0,2017-02-12,BTC/EUR,949.9,953,940.3,945.99,945.99,2459.53,2327802.08,NULL
1486771200.0,2017-02-11,BTC/EUR,940.61,956.7,935,949.9,949.9,3732.78,3544427.57,NULL
1486684800.0,2017-02-10,BTC/EUR,921.5,949,886,940.61,940.61,11352.41,10406982.84,NULL
1486598400.0,2017-02-09,BTC/EUR,990.93,1007.48,848,921.5,921.5,23858.69,22256516.07,NULL
1486512000.0,2017-02-08,BTC/EUR,988.25,1000.12,963.32,990.93,990.93,10919.86,10742007.48,NULL
1486425600.0,2017-02-07,BTC/EUR,953,990,952.7,988.25,988.25,8411.15,8222215.57,NULL
1486339200.0,2017-02-06,BTC/EUR,943.9,959.7,940,953,953,4499.47,4289747.22,NULL
1486252800.0,2017-02-05,BTC/EUR,960,961.1,935,943.9,943.9,4844.39,4581284.1,NULL
1486166400.0,2017-02-04,BTC/EUR,941.89,967.42,933,960,960,6465.39,6149815.0,NULL
1486080000.0,2017-02-03,BTC/EUR,937.97,957.31,923.84,941.89,941.89,10110.02,9525462.65,NULL
1485993600.0,2017-02-02,BTC/EUR,919.23,942.48,908.1,937.97,937.97,7189.86,6657027.87,NULL
1485907200.0,2017-02-01,BTC/EUR,900.63,919.23,896.57,919.23,919.23,7235.21,6569126.28,NULL
1485820800.0,2017-01-31,BTC/EUR,861.01,900.99,859.16,900.63,900.63,8374.47,7413508.1,NULL
1485734400.0,2017-01-30,BTC/EUR,855.55,866.34,848.16,861.01,861.01,4409.18,3792014.2,NULL
1485648000.0,2017-01-29,BTC/EUR,861.11,862.99,853.26,855.55,855.55,1952.44,1677502.16,NULL
1485561600.0,2017-01-28,BTC/EUR,860.51,865.77,860.01,861.11,861.11,1574.61,1358521.94,NULL
1485475200.0,2017-01-27,BTC/EUR,859.98,870.27,852.89,860.51,860.51,4084.88,3520441.42,NULL
1485388800.0,2017-01-26,BTC/EUR,835.99,863.94,834,859.98,859.98,4948.99,4209631.5,NULL
1485302400.0,2017-01-25,BTC/EUR,837,843.99,830.12,835.99,835.99,4561.8,3818880.09,NULL
1485216000.0,2017-01-24,BTC/EUR,862,865.77,830.1,837,837,10200.06,8634436.06,NULL
1485129600.0,2017-01-23,BTC/EUR,861.83,873.66,852.69,862,862,4397.82,3796481.96,NULL
1485043200.0,2017-01-22,BTC/EUR,864.99,880,837.11,861.83,861.83,8797.06,7572673.04,NULL
1484956800.0,2017-01-21,BTC/EUR,840.97,870.87,839.44,864.99,864.99,5201.35,4477989.64,NULL
1484870400.0,2017-01-20,BTC/EUR,843.3,850,830,840.97,840.97,4616.34,3887614.17,NULL
1484784000.0,2017-01-19,BTC/EUR,828.53,855,827.55,843.3,843.3,7649.72,6461582.36,NULL
1484697600.0,2017-01-18,BTC/EUR,854.99,860,803.28,828.53,828.53,11532.9,9541710.77,NULL
1484611200.0,2017-01-17,BTC/EUR,789.51,859,789.51,854.99,854.99,12458.33,10403619.84,NULL
1484524800.0,2017-01-16,BTC/EUR,777.48,799,770.11,789.51,789.51,6553.31,5157987.65,NULL
1484438400.0,2017-01-15,BTC/EUR,769.79,783.37,765,777.48,777.48,3264.06,2525293.76,NULL
1484352000.0,2017-01-14,BTC/EUR,782.42,797.3,763.11,769.79,769.79,5572.68,4361539.01,NULL
1484265600.0,2017-01-13,BTC/EUR,773,791.22,737.78,782.42,782.42,11545.37,8849755.99,NULL
1484179200.0,2017-01-12,BTC/EUR,755.1,791.22,716.31,773,773,18120.61,13533706.09,NULL
1484092800.0,2017-01-11,BTC/EUR,867.83,876,741,755.1,755.1,24783.89,19648250.21,NULL
1484006400.0,2017-01-10,BTC/EUR,861.99,874,854.38,867.83,867.83,5272.75,4560691.08,NULL
1483920000.0,2017-01-09,BTC/EUR,865.68,869,831.69,861.99,861.99,7457.44,6359490.34,NULL
1483833600.0,2017-01-08,BTC/EUR,854.63,891.84,844.23,865.68,865.68,8338.01,7248447.29,NULL
1483747200.0,2017-01-07,BTC/EUR,847.22,860.6,771,854.63,854.63,18864.11,15529293.7,NULL
1483660800.0,2017-01-06,BTC/EUR,940.11,979,827.72,847.22,847.22,24286.12,21250666.53,NULL
1483574400.0,2017-01-05,BTC/EUR,1074,1087.43,895.2,940.11,940.11,33045.11,32049982.46,NULL
1483488000.0,2017-01-04,BTC/EUR,993,1089,989.82,1074,1074,21489.16,22452587.51,NULL
1483401600.0,2017-01-03,BTC/EUR,973.75,993.95,960.2,993,993,7384.92,7219930.33,NULL
