https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1608454800,2020-12-20 09:00:00,ADA/EUR,0.135740,0.136624,0.134915,0.135216,0.136001,343070.93554765,46388.67962101104,156
1608451200,2020-12-20 08:00:00,ADA/EUR,0.135271,0.135731,0.134570,0.135416,0.135044,67232.65655500,9104.37742005188,54
1608447600,2020-12-20 07:00:00,ADA/EUR,0.133700,0.135002,0.133500,0.135002,0.133960,245286.98189220,33114.233129410786,82
1608444000,2020-12-20 06:00:00,ADA/EUR,0.133015,0.133999,0.132925,0.133883,0.133485,537093.84560125,71907.73533063215,66
1608440400,2020-12-20 05:00:00,ADA/EUR,0.132440,0.133576,0.132429,0.133576,0.132575,59946.21440046,8007.3755347558445,31
1608436800,2020-12-20 04:00:00,ADA/EUR,0.132081,0.132500,0.131078,0.132500,0.132036,193203.62914244,25599.480861373304,56
1608433200,2020-12-20 03:00:00,ADA/EUR,0.132000,0.132509,0.131980,0.131980,0.132166,51727.51102973,6826.996905703764,39
1608429600,2020-12-20 02:00:00,ADA/EUR,0.132738,0.132779,0.132290,0.132493,0.132573,21880.78463434,2899.0507985576096,29
1608426000,2020-12-20 01:00:00,ADA/EUR,0.133331,0.133497,0.132720,0.133171,0.133008,85624.35323924,11402.68074522283,43
1608422400,2020-12-20 00:00:00,ADA/EUR,0.133530,0.133530,0.131852,0.132720,0.132794,302530.18421593,40151.80604913823,142
1608418800,2020-12-19 23:00:00,ADA/EUR,0.135720,0.135721,0.132886,0.133620,0.134582,502694.77838464,67170.0762877556,201
1608415200,2020-12-19 22:00:00,ADA/EUR,0.136056,0.136159,0.135517,0.135862,0.135880,207444.07301360,28183.766647773726,117
1608411600,2020-12-19 21:00:00,ADA/EUR,0.135857,0.136479,0.135488,0.136048,0.135810,341092.19911414,46404.91150508052,163
1608408000,2020-12-19 20:00:00,ADA/EUR,0.135811,0.136224,0.135605,0.136077,0.135941,157472.78126373,21428.423656024588,101
1608404400,2020-12-19 19:00:00,ADA/EUR,0.136162,0.136244,0.134866,0.135560,0.135352,341445.02260243,46286.28726398542,139
1608400800,2020-12-19 18:00:00,ADA/EUR,0.136800,0.136800,0.135012,0.136065,0.135714,607233.74480207,82623.25948649364,155
1608397200,2020-12-19 17:00:00,ADA/EUR,0.138067,0.138239,0.136661,0.136800,0.137433,264389.49730226,36168.48323094917,148
1608393600,2020-12-19 16:00:00,ADA/EUR,0.137639,0.138886,0.137630,0.138081,0.138045,365162.23057050,50421.965959405214,174
1608390000,2020-12-19 15:00:00,ADA/EUR,0.138013,0.138582,0.137100,0.137545,0.138164,935233.41068075,128636.67947208376,164
1608386400,2020-12-19 14:00:00,ADA/EUR,0.138697,0.139136,0.136772,0.137661,0.138217,477402.58700531,65719.71752973799,206
1608382800,2020-12-19 13:00:00,ADA/EUR,0.138637,0.138792,0.137843,0.138468,0.138447,637349.05340236,88252.44872651798,178
1608379200,2020-12-19 12:00:00,ADA/EUR,0.136870,0.138766,0.136854,0.138593,0.138050,287833.94585779,39891.77005826869,151
